Entity,Year,Life expectancy - Type: period - Sex: both - Age: 0
United Kingdom,1967,720.751
United States,1967,705.187
United States Virgin Islands,1967,650.433
Upper-middle-income countries,1967,565.183
Uruguay,1967,685.577
Uzbekistan,1967,59.803
Vanuatu,1967,534.437
Venezuela,1967,623.476
Vietnam,1967,581.614
Wallis and Futuna,1967,505.356
Western Sahara,1967,411.068
World,1967,549.203
Yemen,1967,368.662
Zambia,1967,508.023
Zimbabwe,1967,561.883
Afghanistan,1968,364.183
Africa (UN),1968,441.023
Albania,1968,629.461
Algeria,1968,426.422
American Samoa,1968,661.682
Andorra,1968,735.397
Angola,1968,394.837
Anguilla,1968,64.179
Antigua and Barbuda,1968,686.708
Argentina,1968,648.904
Armenia,1968,633.342
Aruba,1968,667.571
Asia (UN),1968,530.428
Australia,1968,706.811
Austria,1968,702.681
Azerbaijan,1968,583.672
Bahamas,1968,653.281
Bahrain,1968,623.096
Bangladesh,1968,490.896
Barbados,1968,681.139
Belarus,1968,713.204
Belgium,1968,706.075
Belize,1968,621.917
Benin,1968,415.217
Bermuda,1968,685.346
Bhutan,1968,382.658
Bolivia,1968,457.959
Bonaire Sint Eustatius and Saba,1968,701.876
Bosnia and Herzegovina,1968,658.829
Botswana,1968,541.883
Brazil,1968,563.105
British Virgin Islands,1968,650.184
Brunei,1968,630.049
Bulgaria,1968,712.252
Burkina Faso,1968,385.307
Burundi,1968,433.781
Cambodia,1968,457.934
Cameroon,1968,459.785
Canada,1968,722.406
Cape Verde,1968,531.763
Cayman Islands,1968,637.569
Central African Republic,1968,437.967
Chad,1968,399.034
Chile,1968,616.296
China,1968,550.569
Colombia,1968,608.708
Comoros,1968,434.625
Congo,1968,527.155
Cook Islands,1968,623.474
Costa Rica,1968,64.428
Cote d'Ivoire,1968,430.211
Croatia,1968,685.279
Cuba,1968,675.113
Curacao,1968,677.535
Cyprus,1968,682.734
Czechia,1968,699.107
Democratic Republic of Congo,1968,427.049
Denmark,1968,731.459
Djibouti,1968,464.384
Dominica,1968,644.161
Dominican Republic,1968,548.938
East Timor,1968,362.249
Ecuador,1968,564.875
Egypt,1968,498.969
El Salvador,1968,507.749
Equatorial Guinea,1968,437.313
Eritrea,1968,403.803
Estonia,1968,702.584
Eswatini,1968,497.482
Ethiopia,1968,428.444
Europe (UN),1968,699.132
Falkland Islands,1968,549.566
Faroe Islands,1968,744.602
Fiji,1968,617.717
Finland,1968,697.829
France,1968,714.792
French Guiana,1968,630.515
French Polynesia,1968,619.086
Gabon,1968,514.387
Gambia,1968,388.693
Georgia,1968,637.751
Germany,1968,706.045
Ghana,1968,47.57
Gibraltar,1968,705.134
Greece,1968,714.901
Greenland,1968,626.625
Grenada,1968,654.979
Guadeloupe,1968,633.118
Guam,1968,641.517
Guatemala,1968,482.977
Guernsey,1968,719.251
Guinea,1968,385.589
Guinea-Bissau,1968,373.613
Guyana,1968,602.562
Haiti,1968,465.121
High-income countries,1968,69.813
Honduras,1968,533.554
Hong Kong,1968,706.867
Hungary,1968,693.451
Iceland,1968,737.717
India,1968,47.471
Indonesia,1968,516.297
Iran,1968,481.364
Iraq,1968,587.809
Ireland,1968,708.861
Isle of Man,1968,656.252
Israel,1968,713.231
Italy,1968,708.677
Jamaica,1968,662.646
Japan,1968,71.649
Jersey,1968,706.605
Jordan,1968,597.525
Kazakhstan,1968,600.797
Kenya,1968,527.809
Kiribati,1968,532.204
Kosovo,1968,639.352
Kuwait,1968,647.354
Kyrgyzstan,1968,575.313
Land-locked Developing Countries (LLDC),1968,457.305
Laos,1968,429.844
Latin America and the Caribbean (UN),1968,582.486
Latvia,1968,703.841
Least developed countries,1968,438.672
Lebanon,1968,666.073
Lesotho,1968,504.311
Less developed regions,1968,516.293
"Less developed regions, excluding China",1968,501.222
"Less developed regions, excluding least developed countries",1968,52.83
Liberia,1968,397.638
Libya,1968,527.119
Liechtenstein,1968,623.448
Lithuania,1968,712.966
Low-income countries,1968,428.813
Lower-middle-income countries,1968,491.493
Luxembourg,1968,696.775
Macao,1968,684.403
Madagascar,1968,465.212
Malawi,1968,360.359
Malaysia,1968,621.938
Maldives,1968,435.543
Mali,1968,316.306
Malta,1968,697.327
Marshall Islands,1968,579.193
Martinique,1968,650.513
Mauritania,1968,500.385
Mauritius,1968,58.497
Mayotte,1968,611.465
Mexico,1968,598.349
Micronesia (country),1968,601.929
Middle-income countries,1968,53.039
Moldova,1968,63.745
Monaco,1968,731.231
Mongolia,1968,514.568
Montenegro,1968,694.229
Montserrat,1968,615.998
More developed regions,1968,702.421
Morocco,1968,477.777
Mozambique,1968,416.672
Myanmar,1968,501.008
Namibia,1968,526.013
Nauru,1968,598.236
Nepal,1968,418.022
Netherlands,1968,736.376
New Caledonia,1968,599.055
New Zealand,1968,710.888
Nicaragua,1968,534.648
Niger,1968,366.109
Nigeria,1968,38.482
Niue,1968,631.704
No income group available,1968,627.358
North Korea,1968,591.745
North Macedonia,1968,628.803
Northern America (UN),1968,703.734
Northern Mariana Islands,1968,64.218
Norway,1968,739.461
Oceania (UN),1968,662.451
Oman,1968,455.251
Pakistan,1968,528.978
Palau,1968,556.232
Palestine,1968,540.326
Panama,1968,643.134
Papua New Guinea,1968,508.389
Paraguay,1968,623.189
Peru,1968,547.471
Philippines,1968,616.503
Poland,1968,702.278
Portugal,1968,668.186
Puerto Rico,1968,706.789
Qatar,1968,65.242
Reunion,1968,615.122
Romania,1968,676.433
Russia,1968,682.104
Rwanda,1968,477.455
Saint Barthelemy,1968,628.917
Saint Helena,1968,682.922
Saint Kitts and Nevis,1968,607.952
Saint Lucia,1968,635.117
Saint Martin (French part),1968,700.025
Saint Pierre and Miquelon,1968,649.369
Saint Vincent and the Grenadines,1968,675.269
Samoa,1968,590.762
San Marino,1968,734.323
Sao Tome and Principe,1968,549.165
Saudi Arabia,1968,50.915
Senegal,1968,402.677
Serbia,1968,657.432
Seychelles,1968,572.375
Sierra Leone,1968,378.465
Singapore,1968,682.174
Sint Maarten (Dutch part),1968,687.947
Slovakia,1968,704.653
Slovenia,1968,678.025
Small Island Developing States (SIDS),1968,587.534
Solomon Islands,1968,542.389
Somalia,1968,45.173
South Africa,1968,548.759
South Korea,1968,615.117
South Sudan,1968,267.082
Spain,1968,716.762
Sri Lanka,1968,63.777
Sudan,1968,454.558
Suriname,1968,600.618
Sweden,1968,740.007
Switzerland,1968,727.054
Syria,1968,590.653
Taiwan,1968,668.708
Tajikistan,1968,56.063
Tanzania,1968,453.661
Thailand,1968,562.066
Togo,1968,452.838
Tokelau,1968,612.388
Tonga,1968,621.846
Trinidad and Tobago,1968,646.683
Tunisia,1968,515.732
Turkey,1968,558.353
Turkmenistan,1968,566.939
Turks and Caicos Islands,1968,584.736
Tuvalu,1968,533.856
Uganda,1968,492.126
Ukraine,1968,700.773
United Arab Emirates,1968,575.396
United Kingdom,1968,716.872
United States,1968,702.021
United States Virgin Islands,1968,655.127
Upper-middle-income countries,1968,570.733
Uruguay,1968,686.983
Uzbekistan,1968,602.173
Vanuatu,1968,540.377
Venezuela,1968,629.279
Vietnam,1968,540.696
Wallis and Futuna,1968,510.681
Western Sahara,1968,414.335
World,1968,55.486
Yemen,1968,377.957
Zambia,1968,508.563
Zimbabwe,1968,564.554
Afghanistan,1969,369.101
Africa (UN),1969,443.156
Albania,1969,639.226
Algeria,1969,427.814
American Samoa,1969,664.046
Andorra,1969,72.954
Angola,1969,398.291
Anguilla,1969,647.183
Antigua and Barbuda,1969,695.348
Argentina,1969,648.588
Armenia,1969,636.556
Aruba,1969,671.682
Asia (UN),1969,536.282
Australia,1969,710.722
Austria,1969,700.416
Azerbaijan,1969,585.993
Bahamas,1969,656.463
Bahrain,1969,63.475
Bangladesh,1969,491.721
Barbados,1969,68.44
Belarus,1969,714.989
Belgium,1969,706.734
Belize,1969,627.704
Benin,1969,418.489
Bermuda,1969,682.109
Bhutan,1969,391.266
Bolivia,1969,462.145
Bonaire Sint Eustatius and Saba,1969,716.237
Bosnia and Herzegovina,1969,662.001
Botswana,1969,546.839
Brazil,1969,567.483
British Virgin Islands,1969,654.695
Brunei,1969,635.526
Bulgaria,1969,704.947
Burkina Faso,1969,388.566
Burundi,1969,428.741
Cambodia,1969,462.414
Cameroon,1969,468.205
Canada,1969,723.985
Cape Verde,1969,537.356
Cayman Islands,1969,640.348
Central African Republic,1969,444.423
Chad,1969,402.648
Chile,1969,619.053
China,1969,557.382
Colombia,1969,612.163
Comoros,1969,441.581
Congo,1969,531.946
Cook Islands,1969,633.269
Costa Rica,1969,650.155
Cote d'Ivoire,1969,436.426
Croatia,1969,687.957
Cuba,1969,67.936
Curacao,1969,680.383
Cyprus,1969,684.903
Czechia,1969,694.186
Democratic Republic of Congo,1969,429.761
Denmark,1969,732.434
Djibouti,1969,469.823
Dominica,1969,636.979
Dominican Republic,1969,555.134
East Timor,1969,367.125
Ecuador,1969,566.545
Egypt,1969,497.969
El Salvador,1969,508.999
Equatorial Guinea,1969,300.765
Eritrea,1969,407.217
Estonia,1969,697.371
Eswatini,1969,503.175
Ethiopia,1969,428.298
Europe (UN),1969,696.398
Falkland Islands,1969,550.798
Faroe Islands,1969,747.436
Fiji,1969,615.382
Finland,1969,696.478
France,1969,712.021
French Guiana,1969,630.957
French Polynesia,1969,62.173
Gabon,1969,519.567
Gambia,1969,393.486
Georgia,1969,642.052
Germany,1969,70.456
Ghana,1969,475.647
Gibraltar,1969,700.063
Greece,1969,720.608
Greenland,1969,631.548
Grenada,1969,658.566
Guadeloupe,1969,642.799
Guam,1969,64.545
Guatemala,1969,485.476
Guernsey,1969,72.196
Guinea,1969,38.723
Guinea-Bissau,1969,377.463
Guyana,1969,603.799
Haiti,1969,46.915
High-income countries,1969,69.865
Honduras,1969,538.957
Hong Kong,1969,708.603
Hungary,1969,693.802
Iceland,1969,734.149
India,1969,478.574
Indonesia,1969,523.537
Iran,1969,494.375
Iraq,1969,59.32
Ireland,1969,708.003
Isle of Man,1969,651.931
Israel,1969,713.673
Italy,1969,708.629
Jamaica,1969,66.381
Japan,1969,719.007
Jersey,1969,709.815
Jordan,1969,604.439
Kazakhstan,1969,602.758
Kenya,1969,531.686
Kiribati,1969,538.801
Kosovo,1969,64.273
Kuwait,1969,656.775
Kyrgyzstan,1969,578.454
Land-locked Developing Countries (LLDC),1969,459.128
Laos,1969,432.099
Latin America and the Caribbean (UN),1969,585.994
Latvia,1969,699.846
Least developed countries,1969,441.094
Lebanon,1969,666.967
Lesotho,1969,507.019
Less developed regions,1969,521.374
"Less developed regions, excluding China",1969,505.421
"Less developed regions, excluding least developed countries",1969,533.884
Liberia,1969,40.193
Libya,1969,53.996
Liechtenstein,1969,643.844
Lithuania,1969,708.505
Low-income countries,1969,431.525
Lower-middle-income countries,1969,495.841
Luxembourg,1969,694.674
Macao,1969,68.845
Madagascar,1969,470.155
Malawi,1969,363.208
Malaysia,1969,626.438
Maldives,1969,442.754
Mali,1969,320.451
Malta,1969,688.734
Marshall Islands,1969,582.268
Martinique,1969,65.669
Mauritania,1969,506.327
Mauritius,1969,596.936
Mayotte,1969,617.138
Mexico,1969,602.503
Micronesia (country),1969,606.622
Middle-income countries,1969,535.019
Moldova,1969,638.726
Monaco,1969,732.311
Mongolia,1969,520.044
Montenegro,1969,691.876
Montserrat,1969,626.661
More developed regions,1969,70.142
Morocco,1969,483.145
Mozambique,1969,417.099
Myanmar,1969,503.416
Namibia,1969,531.167
Nauru,1969,599.719
Nepal,1969,423.344
Netherlands,1969,735.601
New Caledonia,1969,605.025
New Zealand,1969,714.755
Nicaragua,1969,543.242
Niger,1969,363.542
Nigeria,1969,387.176
Niue,1969,635.893
No income group available,1969,630.313
North Korea,1969,599.261
North Macedonia,1969,630.421
Northern America (UN),1969,706.419
Northern Mariana Islands,1969,645.806
Norway,1969,736.674
Oceania (UN),1969,667.376
Oman,1969,466.845
Pakistan,1969,537.491
Palau,1969,559.822
Palestine,1969,546.965
Panama,1969,646.615
Papua New Guinea,1969,51.414
Paraguay,1969,624.989
Peru,1969,55.255
Philippines,1969,617.976
Poland,1969,697.118
Portugal,1969,663.982
Puerto Rico,1969,709.992
Qatar,1969,658.947
Reunion,1969,619.295
Romania,1969,667.717
Russia,1969,675.655
Rwanda,1969,473.982
Saint Barthelemy,1969,644.366
Saint Helena,1969,68.265
Saint Kitts and Nevis,1969,608.235
Saint Lucia,1969,638.499
Saint Martin (French part),1969,707.332
Saint Pierre and Miquelon,1969,653.519
Saint Vincent and the Grenadines,1969,681.781
Samoa,1969,596.402
San Marino,1969,735.502
Sao Tome and Principe,1969,550.804
Saudi Arabia,1969,518.162
Senegal,1969,40.459
Serbia,1969,657.523
Seychelles,1969,578.183
Sierra Leone,1969,382.493
Singapore,1969,685.814
Sint Maarten (Dutch part),1969,701.578
Slovakia,1969,69.805
Slovenia,1969,678.831
Small Island Developing States (SIDS),1969,59.165
Solomon Islands,1969,551.626
Somalia,1969,453.698
South Africa,1969,551.943
South Korea,1969,620.133
South Sudan,1969,260.864
Spain,1969,711.402
Sri Lanka,1969,63.993
Sudan,1969,451.473
Suriname,1969,60.224
Sweden,1969,74.113
Switzerland,1969,727.174
Syria,1969,59.878
Taiwan,1969,67.971
Tajikistan,1969,564.842
Tanzania,1969,459.729
Thailand,1969,569.323
Togo,1969,456.659
Tokelau,1969,614.933
Tonga,1969,627.374
Trinidad and Tobago,1969,64.685
Tunisia,1969,525.225
Turkey,1969,563.784
Turkmenistan,1969,571.727
Turks and Caicos Islands,1969,57.195
Tuvalu,1969,541.981
Uganda,1969,495.108
Ukraine,1969,694.898
United Arab Emirates,1969,587.598
United Kingdom,1969,716.646
United States,1969,704.785
United States Virgin Islands,1969,656.622
Upper-middle-income countries,1969,575.596
Uruguay,1969,68.815
Uzbekistan,1969,607.162
Vanuatu,1969,54.591
Venezuela,1969,632.235
Vietnam,1969,561.515
Wallis and Futuna,1969,516.394
Western Sahara,1969,417.772
World,1969,558.286
Yemen,1969,394.742
Zambia,1969,51.147
Zimbabwe,1969,567.143
Afghanistan,1970,374.178
Africa (UN),1970,447.834
Albania,1970,648.239
Algeria,1970,431.597
American Samoa,1970,665.712
Andorra,1970,742.557
Angola,1970,401.904
Anguilla,1970,651.144
Antigua and Barbuda,1970,700.583
Argentina,1970,655.887
Armenia,1970,638.727
Aruba,1970,675.827
Asia (UN),1970,539.314
Australia,1970,706.537
Austria,1970,700.864
Azerbaijan,1970,590.184
Bahamas,1970,659.258
Bahrain,1970,644.498
Bangladesh,1970,425.867
Barbados,1970,682.725
Belarus,1970,712.458
Belgium,1970,709.354
Belize,1970,634.679
Benin,1970,421.894
Bermuda,1970,694.782
Bhutan,1970,399.531
Bolivia,1970,465.974
Bonaire Sint Eustatius and Saba,1970,733.525
Bosnia and Herzegovina,1970,666.883
Botswana,1970,551.975
Brazil,1970,571.714
British Virgin Islands,1970,666.092
Brunei,1970,641.102
Bulgaria,1970,712.764
Burkina Faso,1970,392.393
Burundi,1970,430.412
Cambodia,1970,391.286
Cameroon,1970,47.583
Canada,1970,726.118
Cape Verde,1970,543.332
Cayman Islands,1970,642.153
Central African Republic,1970,450.721
Chad,1970,406.034
Chile,1970,624.906
China,1970,56.607
Colombia,1970,615.694
Comoros,1970,44.863
Congo,1970,536.342
Cook Islands,1970,643.464
Costa Rica,1970,653.613
Cote d'Ivoire,1970,443.252
Croatia,1970,689.443
Cuba,1970,683.978
Curacao,1970,68.375
Cyprus,1970,689.274
Czechia,1970,694.892
Democratic Republic of Congo,1970,432.839
Denmark,1970,733.635
Djibouti,1970,475.115
Dominica,1970,654.677
Dominican Republic,1970,561.446
East Timor,1970,371.655
Ecuador,1970,571.518
Egypt,1970,500.132
El Salvador,1970,514.097
Equatorial Guinea,1970,302.482
Eritrea,1970,410.897
Estonia,1970,698.694
Eswatini,1970,508.043
Ethiopia,1970,428.154
Europe (UN),1970,699.716
Falkland Islands,1970,553.371
Faroe Islands,1970,748.199
Fiji,1970,61.713
Finland,1970,703.242
France,1970,720.902
French Guiana,1970,636.464
French Polynesia,1970,624.292
Gabon,1970,525.546
Gambia,1970,398.713
Georgia,1970,64.431
Germany,1970,706.798
Ghana,1970,478.046
Gibraltar,1970,70.605
Greece,1970,728.222
Greenland,1970,635.079
Grenada,1970,662.157
Guadeloupe,1970,64.608
Guam,1970,648.252
Guatemala,1970,494.386
Guernsey,1970,729.764
Guinea,1970,390.083
Guinea-Bissau,1970,380.253
Guyana,1970,604.692
Haiti,1970,473.372
High-income countries,1970,70.231
Honduras,1970,544.398
Hong Kong,1970,713.052
Hungary,1970,692.194
Iceland,1970,735.528
India,1970,482.407
Indonesia,1970,529.915
Iran,1970,502.041
Iraq,1970,601.861
Ireland,1970,708.348
Isle of Man,1970,656.839
Israel,1970,713.617
Italy,1970,716.286
Jamaica,1970,667.021
Japan,1970,719.874
Jersey,1970,697.705
Jordan,1970,598.699
Kazakhstan,1970,605.068
Kenya,1970,535.749
Kiribati,1970,545.273
Kosovo,1970,645.835
Kuwait,1970,665.303
Kyrgyzstan,1970,581.788
Land-locked Developing Countries (LLDC),1970,461.592
Laos,1970,43.563
Latin America and the Caribbean (UN),1970,586.098
Latvia,1970,700.141
Least developed countries,1970,428.667
Lebanon,1970,667.592
Lesotho,1970,510.116
Less developed regions,1970,524.443
"Less developed regions, excluding China",1970,50.606
"Less developed regions, excluding least developed countries",1970,539.681
Liberia,1970,405.988
Libya,1970,551.887
Liechtenstein,1970,652.041
Lithuania,1970,706.731
Low-income countries,1970,434.813
Lower-middle-income countries,1970,495.594
Luxembourg,1970,695.799
Macao,1970,69.198
Madagascar,1970,475.067
Malawi,1970,367.308
Malaysia,1970,631.106
Maldives,1970,450.679
Mali,1970,325.316
Malta,1970,691.233
Marshall Islands,1970,585.379
Martinique,1970,658.863
Mauritania,1970,510.376
Mauritius,1970,608.104
Mayotte,1970,624.406
Mexico,1970,606.898
Micronesia (country),1970,610.345
Middle-income countries,1970,537.837
Moldova,1970,638.851
Monaco,1970,733.328
Mongolia,1970,526.783
Montenegro,1970,692.757
Montserrat,1970,643.671
More developed regions,1970,704.366
Morocco,1970,488.073
Mozambique,1970,417.553
Myanmar,1970,507.126
Namibia,1970,536.304
Nauru,1970,600.421
Nepal,1970,428.266
Netherlands,1970,736.279
New Caledonia,1970,611.178
New Zealand,1970,712.195
Nicaragua,1970,549.503
Niger,1970,360.615
Nigeria,1970,397.131
Niue,1970,640.004
No income group available,1970,640.893
North Korea,1970,605.707
North Macedonia,1970,637.347
Northern America (UN),1970,708.965
Northern Mariana Islands,1970,64.91
Norway,1970,740.714
Oceania (UN),1970,666.238
Oman,1970,476.785
Pakistan,1970,547.599
Palau,1970,564.697
Palestine,1970,553.453
Panama,1970,650.832
Papua New Guinea,1970,521.266
Paraguay,1970,626.844
Peru,1970,471.602
Philippines,1970,616.919
Poland,1970,695.877
Portugal,1970,670.593
Puerto Rico,1970,71.048
Qatar,1970,665.321
Reunion,1970,62.525
Romania,1970,675.633
Russia,1970,676.871
Rwanda,1970,47.153
Saint Barthelemy,1970,660.419
Saint Helena,1970,684.336
Saint Kitts and Nevis,1970,61.291
Saint Lucia,1970,642.667
Saint Martin (French part),1970,715.692
Saint Pierre and Miquelon,1970,659.486
Saint Vincent and the Grenadines,1970,685.704
Samoa,1970,601.798
San Marino,1970,735.171
Sao Tome and Principe,1970,565.156
Saudi Arabia,1970,52.715
Senegal,1970,408.254
Serbia,1970,662.096
Seychelles,1970,584.831
Sierra Leone,1970,387.927
Singapore,1970,687.823
Sint Maarten (Dutch part),1970,719.071
Slovakia,1970,697.234
Slovenia,1970,68.284
Small Island Developing States (SIDS),1970,596.021
Solomon Islands,1970,560.724
Somalia,1970,455.574
South Africa,1970,555.787
South Korea,1970,622.668
South Sudan,1970,263.993
Spain,1970,721.514
Sri Lanka,1970,652.675
Sudan,1970,455.343
Suriname,1970,604.023
Sweden,1970,746.642
Switzerland,1970,731.238
Syria,1970,605.274
Taiwan,1970,692.147
Tajikistan,1970,568.094
Tanzania,1970,464.495
Thailand,1970,577.106
Togo,1970,461.198
Tokelau,1970,617.827
Tonga,1970,632.318
Trinidad and Tobago,1970,65.057
Tunisia,1970,538.695
Turkey,1970,568.948
Turkmenistan,1970,576.632
Turks and Caicos Islands,1970,563.101
Tuvalu,1970,549.404
Uganda,1970,49.616
Ukraine,1970,693.172
United Arab Emirates,1970,600.213
United Kingdom,1970,718.843
United States,1970,707.353
United States Virgin Islands,1970,657.621
Upper-middle-income countries,1970,581.817
Uruguay,1970,689.036
Uzbekistan,1970,609.341
Vanuatu,1970,551.864
Venezuela,1970,64.299
Vietnam,1970,562.218
Wallis and Futuna,1970,522.198
Western Sahara,1970,421.484
World,1970,56.112
Yemen,1970,405.009
Zambia,1970,514.927
Zimbabwe,1970,570.318
Afghanistan,1971,379.233
Africa (UN),1971,45.322
Albania,1971,656.179
Algeria,1971,436.703
American Samoa,1971,67.064
Andorra,1971,737.187
Angola,1971,405.543
Anguilla,1971,655.199
Antigua and Barbuda,1971,706.835
Argentina,1971,655.408
Armenia,1971,642.077
Aruba,1971,679.746
Asia (UN),1971,533.624
Australia,1971,71.452
Austria,1971,702.909
Azerbaijan,1971,593.533
Bahamas,1971,661.507
Bahrain,1971,656.068
Bangladesh,1971,25.996
Barbados,1971,685.981
Belarus,1971,714.852
Belgium,1971,710.848
Belize,1971,642.044
Benin,1971,425.814
Bermuda,1971,685.019
Bhutan,1971,407.526
Bolivia,1971,470.612
Bonaire Sint Eustatius and Saba,1971,728.595
Bosnia and Herzegovina,1971,671.635
Botswana,1971,557.448
Brazil,1971,575.858
British Virgin Islands,1971,67.09
Brunei,1971,64.699
Bulgaria,1971,708.838
Burkina Faso,1971,395.591
Burundi,1971,429.655
Cambodia,1971,395.071
Cameroon,1971,482.505
Canada,1971,729.514
Cape Verde,1971,548.134
Cayman Islands,1971,643.686
Central African Republic,1971,456.879
Chad,1971,401.901
Chile,1971,627.319
China,1971,575.653
Colombia,1971,620.514
Comoros,1971,45.581
Congo,1971,540.427
Cook Islands,1971,652.961
Costa Rica,1971,66.301
Cote d'Ivoire,1971,449.923
Croatia,1971,692.758
Cuba,1971,689.178
Curacao,1971,685.603
Cyprus,1971,693.301
Czechia,1971,697.371
Democratic Republic of Congo,1971,436.555
Denmark,1971,734.293
Djibouti,1971,473.578
Dominica,1971,643.351
Dominican Republic,1971,567.825
East Timor,1971,377.224
Ecuador,1971,576.327
Egypt,1971,503.859
El Salvador,1971,522.409
Equatorial Guinea,1971,362.633
Eritrea,1971,414.832
Estonia,1971,702.766
Eswatini,1971,513.098
Ethiopia,1971,428.922
Europe (UN),1971,701.067
Falkland Islands,1971,556.489
Faroe Islands,1971,748.556
Fiji,1971,617.964
Finland,1971,701.468
France,1971,720.746
French Guiana,1971,639.936
French Polynesia,1971,626.808
Gabon,1971,530.729
Gambia,1971,403.466
Georgia,1971,647.526
Germany,1971,709.158
Ghana,1971,477.976
Gibraltar,1971,710.174
Greece,1971,730.646
Greenland,1971,637.149
Grenada,1971,664.791
Guadeloupe,1971,651.567
Guam,1971,65.193
Guatemala,1971,504.839
Guernsey,1971,728.362
Guinea,1971,393.079
Guinea-Bissau,1971,383.681
Guyana,1971,605.549
Haiti,1971,477.195
High-income countries,1971,705.412
Honduras,1971,54.966
Hong Kong,1971,719.265
Hungary,1971,69.08
Iceland,1971,734.118
India,1971,486.324
Indonesia,1971,535.762
Iran,1971,511.241
Iraq,1971,609.092
Ireland,1971,716.227
Isle of Man,1971,659.556
Israel,1971,71.502
Italy,1971,718.821
Jamaica,1971,667.954
Japan,1971,728.085
Jersey,1971,70.8
Jordan,1971,616.121
Kazakhstan,1971,607.399
Kenya,1971,54.258
Kiribati,1971,550.968
Kosovo,1971,648.741
Kuwait,1971,670.578
Kyrgyzstan,1971,584.858
Land-locked Developing Countries (LLDC),1971,464.167
Laos,1971,439.827
Latin America and the Caribbean (UN),1971,595.052
Latvia,1971,703.318
Least developed countries,1971,383.186
Lebanon,1971,668.229
Lesotho,1971,512.928
Less developed regions,1971,521.331
"Less developed regions, excluding China",1971,498.281
"Less developed regions, excluding least developed countries",1971,545.085
Liberia,1971,409.396
Libya,1971,563.373
Liechtenstein,1971,612.836
Lithuania,1971,71.668
Low-income countries,1971,440.102
Lower-middle-income countries,1971,481.704
Luxembourg,1971,69.181
Macao,1971,695.818
Madagascar,1971,478.889
Malawi,1971,372.389
Malaysia,1971,635.836
Maldives,1971,46.125
Mali,1971,329.369
Malta,1971,69.302
Marshall Islands,1971,589.336
Martinique,1971,665.667
Mauritania,1971,513.869
Mauritius,1971,607.877
Mayotte,1971,632.544
Mexico,1971,611.551
Micronesia (country),1971,615.178
Middle-income countries,1971,534.062
Moldova,1971,63.799
Monaco,1971,734.102
Mongolia,1971,533.452
Montenegro,1971,697.168
Montserrat,1971,653.252
More developed regions,1971,706.864
Morocco,1971,492.434
Mozambique,1971,41.739
Myanmar,1971,512.152
Namibia,1971,542.372
Nauru,1971,603.413
Nepal,1971,433.117
Netherlands,1971,738.716
New Caledonia,1971,615.911
New Zealand,1971,717.172
Nicaragua,1971,55.322
Niger,1971,352.933
Nigeria,1971,404.802
Niue,1971,643.878
No income group available,1971,647.169
North Korea,1971,61.176
North Macedonia,1971,646.357
Northern America (UN),1971,712.563
Northern Mariana Islands,1971,652.504
Norway,1971,741.754
Oceania (UN),1971,674.401
Oman,1971,489.341
Pakistan,1971,503.502
Palau,1971,569.796
Palestine,1971,559.943
Panama,1971,657.868
Papua New Guinea,1971,525.789
Paraguay,1971,628.033
Peru,1971,56.163
Philippines,1971,619.884
Poland,1971,693.714
Portugal,1971,668.501
Puerto Rico,1971,711.977
Qatar,1971,671.332
Reunion,1971,632.338
Romania,1971,67.733
Russia,1971,67.753
Rwanda,1971,468.291
Saint Barthelemy,1971,660.316
Saint Helena,1971,686.548
Saint Kitts and Nevis,1971,60.747
Saint Lucia,1971,645.481
Saint Martin (French part),1971,714.528
Saint Pierre and Miquelon,1971,666.582
Saint Vincent and the Grenadines,1971,687.325
Samoa,1971,607.041
San Marino,1971,738.511
Sao Tome and Principe,1971,56.841
Saudi Arabia,1971,537.729
Senegal,1971,412.189
Serbia,1971,666.467
Seychelles,1971,591.568
Sierra Leone,1971,392.691
Singapore,1971,690.385
Sint Maarten (Dutch part),1971,71.437
Slovakia,1971,698.649
Slovenia,1971,683.055
Small Island Developing States (SIDS),1971,599.933
Solomon Islands,1971,569.777
Somalia,1971,457.467
South Africa,1971,55.955
South Korea,1971,628.704
South Sudan,1971,315.822
Spain,1971,717.373
Sri Lanka,1971,659.222
Sudan,1971,496.461
Suriname,1971,60.392
Sweden,1971,746.009
Switzerland,1971,732.408
Syria,1971,613.704
Taiwan,1971,694.374
Tajikistan,1971,572.297
Tanzania,1971,469.174
Thailand,1971,585.241
Togo,1971,465.873
Tokelau,1971,621.046
Tonga,1971,636.608
Trinidad and Tobago,1971,652.827
Tunisia,1971,54.835
Turkey,1971,574.092
Turkmenistan,1971,580.383
Turks and Caicos Islands,1971,562.798
Tuvalu,1971,557.077
Uganda,1971,469.298
Ukraine,1971,69.553
United Arab Emirates,1971,612.109
United Kingdom,1971,72.236
United States,1971,710.957
United States Virgin Islands,1971,660.821
Upper-middle-income countries,1971,590.327
Uruguay,1971,689.686
Uzbekistan,1971,613.255
Vanuatu,1971,557.664
Venezuela,1971,649.334
Vietnam,1971,567.486
Wallis and Futuna,1971,528.146
Western Sahara,1971,425.736
World,1971,558.924
Yemen,1971,415.425
Zambia,1971,520.225
Zimbabwe,1971,571.962
Afghanistan,1972,384.439
Africa (UN),1972,454.068
Albania,1972,664.221
Algeria,1972,443.465
American Samoa,1972,67.287
Andorra,1972,748.666
Angola,1972,409.052
